dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/short,moiraic_base,110.71608382936508,110.71608382936508,6.799934992714534,0.6820952468311935,0.7610204317015138,0.7385494898235987,4.408791284651876,10.52217106063977,0.5671719679143008,0.36653391104180744,0.28854517391388346,Web/CloudOps,7
bizitobs_l2c/H/medium,moiraic_base,130.56873139880952,130.56873139880952,8.050568498883928,0.8192714944946627,0.9571185470053635,0.8800404866536459,7.2314870449932345,11.426667554401392,0.6919020765303381,0.4874741507187677,0.3948828084843783,Web/CloudOps,7
bizitobs_l2c/H/long,moiraic_base,152.3189732142857,152.3189732142857,9.121750992063491,0.9437959316024105,1.1878039379387675,0.8998715355282738,9.26488910159179,12.3417572984679,0.7538701562955332,0.5571828775898469,0.4505819903418094,Web/CloudOps,7
electricity/H/short,moiraic_base,1942939.121776288,1942939.121776288,206.3284567068289,1.1004064167363201,0.24729829167010128,0.1480220315263078,12.174777143537783,1393.8935116343314,0.6580172794128851,0.09740176607070941,0.07926291504684564,Energy,1
