dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/short,moiraie_base,187.7195560515873,187.7195560515873,9.210365900917658,0.8873874797873493,0.7857399627173262,0.8282976907397074,4.63550028355167,13.7010786455515,0.7385232280640722,0.49646231021420195,0.38231451396292865,Web/CloudOps,7
bizitobs_l2c/H/medium,moiraie_base,218.4909970238095,218.4909970238095,10.413650948660715,1.037581280004868,1.087253453857519,0.9831521170479911,6.328776817413676,14.78144096574517,0.8950387021953985,0.6305623823688754,0.4823065742751823,Web/CloudOps,7
bizitobs_l2c/H/long,moiraie_base,222.8155505952381,222.8155505952381,10.677269345238095,1.0893127602211063,1.326477844270021,0.9628714425223214,6.500417990227858,14.927007422629565,0.911784695370673,0.6521984281041875,0.4959637682804371,Web/CloudOps,7
electricity/H/short,moiraie_base,2029765.434691723,2029765.434691723,205.77951860307573,1.065543494692085,0.24461290222162568,0.14246159665219418,10.666701482832496,1424.6983662136076,0.6725593713074436,0.09714262818132734,0.077497748029203,Energy,1
