dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
electricity/15T/short,moiraic_base_11,143475.02591189824,143475.02591189824,57.53631240982193,1.0808640867372028,0.1823057265540113,0.180458013861029,10.848911229986903,378.7809735347041,0.7466519817446098,0.1134154159914121,0.0929007014996303,Energy,1
electricity/D/short,moiraic_base_11,2058775419.8394237,2058775419.8394237,4803.709522522522,1.4921465262086762,0.4602450302570341,0.1008927991712415,12.138541869644971,45373.73050388764,0.7456410805319226,0.0789409008066525,0.0614893309656873,Energy,1
electricity/H/long,moiraic_base_11,9815086.748348348,9815086.748348348,284.8292653903904,1.2167657640109302,0.2925550155651759,0.147661023938978,17.63781420951137,3132.9038843137764,1.235616385099201,0.1123365798211275,0.0952970078303922,Energy,1
electricity/H/medium,moiraic_base_11,6327142.482015766,6327142.482015766,252.45482034769145,1.098700475205631,0.2460371701898441,0.1350023340964102,13.769083748051578,2515.3811802619034,0.981836163439856,0.0985414354679504,0.0819835153539419,Energy,1
electricity/H/short,moiraic_base_11,1815597.9559938065,1815597.9559938065,179.83313560142173,0.963058612651428,0.1859045280313117,0.1306466590606414,10.787466932789954,1347.4412625394125,0.6360885011861815,0.0848940824869342,0.0702273652238749,Energy,1
electricity/W/short,moiraic_base_11,51585259671.29369,51585259671.29369,30977.33136261261,1.6244156289781742,0.2498406156708922,0.1030792579994545,12.651102762768096,227123.88617513064,0.5182217603193815,0.0706800480525049,0.0544068813325088,Energy,1
ett1/15T/long,moiraic_base_11,10.747771577380952,10.747771577380952,1.846201171875,1.161307052487769,0.7791548726117815,0.4328414093501984,15.400624917958671,3.278379413274332,0.624862357643568,0.3518877687771755,0.2941207911709668,Energy,7
ett1/15T/medium,moiraic_base_11,11.006705109126983,11.006705109126983,1.7595259796626983,1.0994685356492848,0.7787622983309808,0.4189761982266865,13.223658081192225,3.317635469596831,0.6323446007927727,0.3353673914420534,0.2784988271553757,Energy,7
ett1/15T/short,moiraic_base_11,6.470837202526274,6.470837202526274,1.2220174971080962,0.7738997201099688,0.5803874630953599,0.2544399812107994,5.696696469444375,2.5437840322099428,0.4808810674965598,0.2310121736232033,0.184477669076315,Energy,7
ett1/D/short,moiraic_base_11,54264.19047619047,54264.19047619047,154.1053199404762,1.8541369227515867,1.1829171316964286,0.5041930183531746,11.62227766688672,232.94675459467229,0.6118423778656986,0.4047627345493469,0.3100598804094086,Energy,7
ett1/H/long,moiraic_base_11,182.0389880952381,182.0389880952381,7.663230613425926,1.4563969858574224,3542877018751.7715,0.4854922340029762,23.45348841888709,13.492182480801173,0.6461113969671077,0.3669755166717638,0.3125281592282107,Energy,7
ett1/H/medium,moiraic_base_11,153.82520461309525,153.82520461309525,7.023153250558035,1.2387887057659763,2975985683747.6025,0.4379962012881324,15.420493515345532,12.402628939587576,0.5940565258780424,0.3363923923756703,0.2791834144939591,Energy,7
ett1/H/short,moiraic_base_11,111.27720511300224,111.27720511300224,5.353623526436942,0.8888888617087363,0.5428355761936733,0.2784650325775146,6.435267885800362,10.548801122070802,0.4923557119789969,0.2498755159495249,0.1977894571932251,Energy,7
ett1/W/short,moiraic_base_11,1105320.857142857,1105320.857142857,870.4866071428571,1.5539448446234498,0.747863633292062,0.5319343294416156,8.886303272977209,1051.3424071837192,0.418354236995023,0.3463873975379349,0.2530371309406207,Energy,7
ett2/15T/long,moiraic_base_11,19.83463913690476,19.83463913690476,2.6776959325396827,1.0757610848065102,0.1562941646597069,0.1878300354972718,18.715802549013144,4.453609674960836,0.237340921196812,0.142699263226186,0.1246336152117413,Energy,7
ett2/15T/medium,moiraic_base_11,15.45923363095238,15.45923363095238,2.4703582279265874,1.0117516357281753,0.1500588094561811,0.1861060926649305,13.220223239111212,3.9318231942640014,0.2095339751384514,0.131649861638891,0.1101739840318722,Energy,7
ett2/15T/short,moiraic_base_11,10.090377371651783,10.090377371651783,2.067509569440569,0.8839925187360013,0.1262191115587554,0.145281628199986,6.3513335289503,3.176535435289804,0.1508014416593711,0.0981520370440126,0.0785778522182625,Energy,7
ett2/D/short,moiraic_base_11,104771.2761904762,104771.2761904762,195.0768601190476,1.2730389390161254,0.4083777533637153,0.1341817462255084,10.60539554133665,323.68391401253814,0.1852528441013808,0.1116476339754744,0.090377286809418,Energy,7
