dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/H/short,moiraic_base,180.30470300099208,180.30470300099208,8.169533381386408,0.8237764398832236,0.5839990483199378,0.8828471350291419,11.230568715817057,13.427758673769501,0.7237905816004772,0.44035877179331584,0.3705107769789022,Web/CloudOps,7
bizitobs_l2c/H/medium,moiraic_base,150.4172805059524,150.4172805059524,7.692359561011905,0.7938082191172497,0.6794373455812972,0.9495586576915923,11.367602989695163,12.264472288115472,0.7426324257090393,0.4657840554424845,0.394244694623043,Web/CloudOps,7
bizitobs_l2c/H/long,moiraic_base,143.30376984126985,143.30376984126985,7.853548952132937,0.8534526198122876,0.7333837738275156,1.0000772143167163,14.311840350128472,11.970955260181613,0.7312204975964202,0.4797174367343986,0.4092871212817345,Web/CloudOps,7
electricity/H/short,moiraic_base,1669532.1007657659,1669532.1007657659,174.56771132460585,0.9615324738522234,0.17736193354308086,0.13146604658247113,11.109249116727229,1292.1037500006591,0.6099652469784905,0.08240842668595978,0.06841013243318259,Energy,1
